ID,Type,Name,Name_KR,Description,StatCategory,MinValue,MaxValue,IconPath
1,Stamina,Stamina,체력,"딸의 기본 체력. 높을수록 스트레스를 잘 이겨낸다.
스트레스가 이 수치를 10이상 초과하면 병에 걸리며 100 이상 초과하면 빈사상태가 되고 죽는다. 전투 시 HP가 된다.",Normal,1,999,
2,Strength,Strength,근력,"체력과는 별개의 수치로, 근육의 힘을 의미한다. 근력 10당 공격력 1이 늘어나지만, 공격력이 한계치에 달하면 근력을 높여도 더 이상 공격력이 늘지 않는다. 체중과 밀접한 연관이 있어서 근력이 높으면 드레스를 못 입게 되는 경우가 많다.",Normal,1,999,
3,Intelligence,Intelligence,지능,"딸의 지적 능력. 전투 시 MP가 되며, 무사수행에서 '숨는다' 커맨드의 성공률이 지능과 비례해 높아진다.",Normal,1,999,
4,Elegance,Elegance,기품,딸의 품위와 몸가짐. 고위직 엔딩에 필수적으로 관여하는 수치다.,Normal,1,999,
5,Charm,Charm,색기,딸의 아름다움과 섹시함. 올리기 매우 힘들기 때문에 공짜로 300~400까지 올릴 수 있는 전갈자리가 선호되는 주요 이유이기도 하다. 다른 스탯과 다르게 매년 생일 때 딸의 초기 색기치와 같은 양의 색기이 오르는지라 별자리 선택이 중요한 편.,Normal,1,999,
6,Ethics,Ethics,도덕성,딸의 양심과 착한 성품의 정도. 이 수치가 낮으면 딸이 불량상태가 되기 쉽다. 도덕성을 올리는 대부분의 행동이 신앙도 같이 올리기 때문에 도덕성만 올리기는 꽤 어려워서 혈액형 A가 아니라면 관리하기 까다롭다.,Normal,1,999,
7,Faith,Faith,신앙,딸이 신을 믿는 믿음의 정도. 능력치 효과는 도덕성과 비슷하지만 실제론 전혀 다르다. 이 능력치도 딸의 불량상태하고 관계가 있다. 낮으면 당연히 불량화되기 쉽다. 그리고 일부 몬스터의 경우 대화를 통해 회피를 하기도 한다. 대주교와 수녀 엔딩에 필수적이다.,Normal,1,999,
8,Karma,Karma,인과,"딸이 살면서 지은 죄의 정도. 많은 배드엔딩 계열에서 업보 수치를 본다. 무서운 점은 엔딩 이외에는 딸의 성격이나 성장, 대화 등에 영향을 전혀 미치지 않으나 엔딩에 임박해졌을 때 딸의 말투가 살벌하게 낮게 깔리면서 사실상 절연당한다. 때문에 엔딩에서도 수호신이 장차 천계에서도 부녀의 재회를 말해주지 않는다. 이 때문에 심각한 능력치이지만 체감은 잘 되지 않는다.",Normal,1,999,
9,Sensitivity,Sensitivity,감수성,"딸의 풍부한 마음씨를 알려주는 능력치로 무사수행 시 일부 이벤트를 볼 수 있으며, 200 이상이면 웬만한 몬스터는 조우 시 대화로 회피할 수 있다. 무사수행 시 아이템을 주울 확률도 늘려준다. 그러나 감수성이 능력치들 중에서 가장 높으면 페이즈 종료 시 25% 확률로 딸이 가출하기 때문에 빡침을 유발할 수 있으므로 조절을 잘 해야 한다. 물고기자리 + AB형 조합이라면 꼬박꼬박 세이브하는 것을 추천한다. 또한, 요리 능력치와 더불어 요리대회의 점수에도 영향을 끼친다. 이 때문에 요리를 100까지 꽉 채워도 감수성이 매우 낮으면 요리대회 우승이 불가능하다. 요리가 100일 경우 우승에 필요한 감수성의 최소 수치는 150 정도이고, 200 이상이면 무조건 우승할 수 있다.",Normal,1,999,
10,Stress,Stress,스트레스,"말 그대로 스트레스이며 낮을수록 좋다. 딸의 불량화, 질병 상태를 막기 위해서는 꾸준한 스트레스 관리가 필수다. 수치가 3자리 이상이 되면 교육과 아르바이트를 실패하기 시작하며, 도덕성/신앙 수치와 비교해서 불량화 조건을, 체력 수치와 비교해서 질병 조건이 성립한다.",Normal,1,999,
11,CombatSkill,CombatSkill,전투기술,"딸의 전투능력을 알려주는 능력치로, 이 능력치가 높을수록 딸의 공격 성공 확률과 도전자/몬스터의 공격회피 확률을 늘려준다.",Warrior,1,999,
12,Attack,Attack,공격력,딸이 가하는 대미지 능력을 늘려주는 능력치로 높을수록 가하는 대미지가 늘며 근력에 비례한다.,Warrior,1,999,
13,Defense,Defense,방어력,딸의 방어능력을 알려주며 이 능력치가 높으면 도전자/몬스터에게 공격을 당했을 때 그 수치만큼 대미지가 줄어든다.,Warrior,1,999,
14,MagicSkill,MagicSkill,마법기술,딸의 마법능력을 알려주는 능력치로. 전투기술과 마찬가지로 딸의 마법공격 성공 확률과 도전자/몬스터의 마법 회피 확률을 늘려준다.,Magic,1,999,
15,MagicPower,MagicPower,마력,딸의 마법 대미지 능력을 늘려주는 능력치로 높을수록 대미지가 는다.,Magic,1,999,
16,AntiMagic,AntiMagic,항마력,딸의 마법저항 능력으로 적의 마법공격을 받았을 때 대미지를 줄여주는 역할을 한다.,Magic,1,999,
17,Etiquette,Etiquette,예의범절,딸의 예의를 잘 지키는 능력으로 왕궁에서 인맥을 쌓고 싶으면 반드시 키워야 한다.,Social,1,999,
18,Art,Art,예술,"딸의 예술성과 미적 능력을 알려주며 높으면 예술계 엔딩을 보며, 예술대회 그림의 점수와 연관이 높다.",Social,1,999,
19,Speech,Speech,화술,딸이 말을 잘하는 능력으로 후궁과의 인맥과 광대와의 대화에 필요한 스텟이다.,Social,1,999,
20,Cooking,Cooking,요리,딸의 요리실력 능력치로 요리대회에서 매우 필수적인 능력치다.,Lyrics,1,999,
21,Housework,Housework,청소세탁,청소와 세탁 등 집안일을 하는 능력치다.,Lyrics,1,999,
22,Temperament,Temperament,성품,딸의 마음가짐과 성격으로 왕비와의 인맥에서 필수적이다.,Lyrics,1,999,
23,Motherhood,Motherhood,모성,,Hidden,1,999,
24,RelationPrince,RelationPrince,왕자와의 관계,,Hidden,1,999,
25,RelationFather,RelationFather,아버지와의 관계,,Hidden,1,999,
26,RelationButler,RelationButler,집사와의 관계,,Hidden,1,999,
27,RelationDemonKing,RelationDemonKing,마왕과의 관계,,Hidden,1,999,
28,KillCount,KillCount,몬스터 킬,,Hidden,1,999,
